n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
3,15,1,1,223.047900000007,48.1838412,0,0,1,242.545206,0.28876193,0,0,1,242.545206,0.02903765,0,0,1,242.545206,7.47634339000001,0,0
3,16,0.25,1,145.108700000001,22.15825024,0,0,0.995865297229745,213.8386415,0.29073164,0,0.07,1,213.3579521,0.03171655,0,0,0.995865297229745,213.8386415,7.00062792,0,0.07
3,16,0.5,1,211.064500000004,41.48727317,0,0,1,249.9628894,0.30398925,0,0,1,249.9628894,0.03429206,0,0,1,249.9628894,7.10343667,0,0
3,16,0.75,1,228.741700000008,48.73296027,0,0,1,249.6292323,0.31624997,0,0,1,249.6292323,0.03498989,0,0,0.998174073663894,250.1162869,7.55852421,0,0.01
3,16,1,1,230.075000000008,50.99167228,0,0,0.997679225474788,246.1774767,0.29541631,0,0.01,1,245.9964783,0.02979553,0,0,0.997679225474788,246.1774767,7.25563278,0,0.01
3,17,0.25,1,158.731300000001,25.70924876,0,0,0.999282329847286,222.2250847,0.29232242,0,0.05,1,221.6753638,0.03636717,0,0,0.999282329847286,222.2250847,6.99587537,0,0.05
3,17,0.5,1,215.354600000004,45.35366364,0,0,1,249.0675686,0.32586796,0,0,1,249.0675686,0.03504854,0,0,1,249.0675686,7.23595617000001,0,0
3,17,0.75,1,230.787900000008,52.4313708,0,0,1,251.7866248,0.30812476,0,0,1,251.7866248,0.03285975,0,0,1,251.7866248,7.51312268,0,0
3,17,1,1,235.924600000011,54.87861604,0,0,1,251.0650572,0.29730673,0,0,1,251.0650572,0.03064559,0,0,1,251.0650572,7.46445174,0,0
3,18,0.25,1,159.874400000003,28.85852273,0,0,1,225.1018212,0.31809765,0,0.02,1,225.1018212,0.0374443,0,0,1,225.1018212,7.2201135,0,0.02
3,18,0.5,1,222.072200000007,46.91769094,0,0,1,252.0965664,0.32222887,0,0,1,252.0965664,0.03506666,0,0,1,252.0965664,7.25530228,0,0
3,18,0.75,1,235.423200000011,58.25097951,0,0,1,253.1503597,0.31454036,0,0,1,253.1503597,0.03426065,0,0,1,253.1503597,7.28390426,0,0
3,18,1,1,238.560600000012,58.56045793,0,0,1,251.3757753,0.30309594,0,0,1,251.3757753,0.03369593,0,0,1,251.3757753,7.46345256,0,0
