n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
4,6,0.5,1,0.431683780958471,8.06252589,0,0,0.983538127003767,0.945529180466123,0.32847985,0,0.085,1,0.903756839502795,0.03410106,0,0
4,6,0.75,1,0.63862258094429,11.83795637,0,0,0.995292294460983,0.954840561768814,0.31484468,0,0.015,1,0.948430235890262,0.02779136,0,0
4,6,1,1,0.747267712260423,15.26852768,0,0,1,0.966804193830521,0.33317879,0,0,1,0.966804193830521,0.03070761,0,0
4,7,0.25,1,0.310564019700727,5.41439696,0,0,0.987400526173921,0.965708952315867,0.31235246,0,0.1925,1,0.919041006552508,0.04949284,0,0
4,7,0.5,1,0.543104886407117,11.15578645,0,0,0.991048273996114,0.951684063702513,0.34287804,0,0.045,1,0.936715555352468,0.03131017,0,0
4,7,0.75,1,0.725852596015512,16.73399664,0,0,0.994383859786414,0.969362136002962,0.33449442,0,0.0125,1,0.968155461469665,0.03012993,0,0
4,7,1,1,0.80818857058259,22.06719556,0,0,0.998483967699897,0.970201690583013,0.32868896,0,0.0025,1,0.969579628924021,0.02862288,0,0
4,8,0.25,1,0.380396793894589,7.02267968,0,0,0.991736145879993,0.959882767597228,0.38474978,0,0.16,1,0.927866019883926,0.03593273,0,0
4,8,0.5,1,0.63474810054867,16.29238552,0,0,0.994782839300226,0.966579298569915,0.37068813,0,0.025,1,0.959254460086897,0.03460091,0,0
4,8,0.75,1,0.769145834157227,23.72863014,0,0,0.999098194631191,0.974285543904042,0.35263777,0,0.0025,1,0.973697584152669,0.03084932,0,0
4,8,1,1,0.837071536224261,27.80484898,0,0,1,0.983399226284633,0.33199062,0,0,1,0.983399226284633,0.02831997,0,0
4,9,0.25,1,0.420479734470935,9.00305128,0,0,0.992198699655746,0.971267344045627,0.2999037,0,0.1675,1,0.938033541012261,0.04914958,0,0
4,9,0.5,1,0.696935534834232,21.12161726,0,0,0.995375105458387,0.973141842452105,0.37524811,0,0.01,1,0.970797548808629,0.03351413,0,0
4,9,0.75,0.999999757770296,0.806649436086631,28.06788756,0,0,1,0.985938255084553,0.34919108,0,0,1,0.985938255084553,0.04224467,0,0
4,9,1,1,0.860270547868337,34.5614001,0,0,1,0.988174214191569,0.34106223,0,0,1,0.988174214191569,0.03120618,0,0
